,index,Object,X1,Y1,X2,Y2,MidX,MidY,Z1,Z2,,,,,
136,138,1,865793.7582,1439471.98,865807.9036,1439523.202,865800.8308,1439497.591,-8626.297852,-8597.410156,53.13959881,26.5694292,26.57016961,-0.000740404,MID136
137,139,1,865802.9613,1439469.385,865817.1234,1439520.711,865810.0426,1439495.049,-8626.297852,-8597.410156,53.24417128,26.62297094,26.62120035,0.00177059,MID137
138,140,1,865812.1517,1439466.794,865826.3575,1439518.216,865819.2543,1439492.504,-8626.297852,-8597.410156,53.34875289,26.6734852,26.67526769,-0.001782486,MID138
139,141,1,865821.357,1439464.198,865835.5751,1439515.726,865828.4661,1439489.962,-8626.297852,-8597.410156,53.4533249,26.72695005,26.72637484,0.000575212,MID139
140,142,1,865830.5532,1439461.605,865844.8021,1439513.233,865837.6779,1439487.42,-8626.297852,-8597.410156,53.55789877,26.77982001,26.77807876,0.001741255,MID140
141,143,1,865839.7455,1439459.013,865854.0342,1439510.739,865846.8897,1439484.875,-8621.65332,-8597.410156,53.66248034,26.83044184,26.8320385,-0.001596661,MID141
142,144,1,865848.9504,1439456.418,865863.2523,1439508.248,865856.1014,1439482.333,-8621.65332,-8597.410156,53.76705261,26.88383439,26.88321821,0.000616179,MID142
143,145,1,865858.1467,1439453.825,865872.4792,1439505.755,865865.3132,1439479.791,-8621.65332,-8597.410156,53.8716266,26.93667855,26.93494804,0.001730509,MID143
144,146,1,865867.3422,1439451.232,865881.7075,1439503.262,865874.525,1439477.247,-8621.65332,-8583.519531,53.97620355,26.98860098,26.98760256,0.000998418,MID144
145,147,1,865876.5418,1439448.638,865890.9312,1439500.77,865883.7367,1439474.705,-8607.1875,-8583.519531,54.08077843,27.04124784,27.03953059,0.001717242,MID145
146,148,1,865885.7384,1439446.045,865900.1582,1439498.277,865892.9485,1439472.162,-8607.1875,-8583.519531,54.18535476,27.0933912,27.09196355,0.001427651,MID146
147,149,1,865894.9346,1439443.452,865909.3861,1439495.784,865902.1603,1439469.618,-8607.1875,-8583.519531,54.28993344,27.14482775,27.14510569,-0.000277948,MID147
148,150,1,865904.1371,1439440.858,865918.6065,1439493.292,865911.372,1439467.076,-8607.1875,-8583.519531,54.39450651,27.19811674,27.19638978,0.001726961,MID148
149,151,1,865913.3323,1439438.265,865927.8349,1439490.799,865920.5838,1439464.533,-8607.1875,-8569.100586,54.49908217,27.25038774,27.24869443,0.001693314,MID149
150,152,1,865922.5302,1439435.672,865937.0606,1439488.306,865929.7956,1439461.99,-8607.1875,-8569.100586,54.60365812,27.3026741,27.30098402,0.001690077,MID150
151,153,1,865931.728,1439433.078,865946.2862,1439485.814,865939.0074,1439459.447,-8588.271484,-8569.100586,54.70823406,27.35496045,27.35327361,0.001686841,MID151
152,154,1,865940.9259,1439430.485,865955.5119,1439483.321,865948.2191,1439456.904,-8588.271484,-8569.100586,54.81281001,27.40724681,27.4055632,0.001683615,MID152
153,155,1,865950.1237,1439427.891,865964.7376,1439480.829,865957.4309,1439454.361,-8588.271484,-8561.826172,54.91738596,27.45953319,27.45785277,0.001680419,MID153
154,156,1,865959.3216,1439425.298,865973.9633,1439478.336,865966.6427,1439451.818,-8588.271484,-8561.826172,55.0219619,27.51181956,27.51014234,0.001677224,MID154
155,157,1,865968.5195,1439422.705,865983.189,1439475.843,865975.8544,1439449.275,-8588.271484,-8561.826172,55.12653785,27.56410594,27.5624319,0.00167404,MID155
156,158,1,865976.3661,1439419.983,865993.7301,1439472.348,865985.0662,1439446.22,-8588.271484,-8561.826172,55.16845759,27.64185667,27.52660093,0.11525574,MID156
157,159,1,865982.7783,1439416.87,866005.7768,1439467.14,865994.278,1439442.006,-8588.271484,-8561.826172,55.28150447,27.64175708,27.63974739,0.002009682,MID157
158,160,1,865991.8734,1439412.454,866015.1058,1439463.107,866003.4897,1439437.781,-8588.271484,-8561.826172,55.72741893,27.86413031,27.86328863,0.00084168,MID158
159,161,1,866000.9922,1439408.026,866024.4105,1439459.085,866012.7015,1439433.556,-8576.166992,-8561.826172,56.17335862,28.08709682,28.0862618,0.000835011,MID159
160,162,1,866010.111,1439403.598,866033.7152,1439455.063,866021.9133,1439429.331,-8576.166992,-8546.384766,56.61929831,28.31006336,28.30923495,0.000828416,MID160
161,163,1,866019.2298,1439399.171,866043.02,1439451.04,866031.1251,1439425.106,-8576.166992,-8546.384766,57.06523799,28.53302997,28.53220802,0.000821955,MID161
162,164,1,866028.3478,1439394.743,866052.3258,1439447.018,866040.3368,1439420.88,-8561.829102,-8546.384766,57.51118501,28.75561637,28.75556864,4.7727E-05,MID162
